"Comunidad","Capacidad","Embalsada","% agua Embalsada","Variación","% de Variación"
"Andalucia","11941","3296","27.60","-41","-0.34"
"Aragon","4751","2250","47.36","-110","-2.32"
"Asturias","456","389","85.31","12","2.63"
"Cantabria","575","247","42.96","2","0.35"
"Castilla y Leon","8292","5522","66.59","-53","-0.64"
"Castilla-La Mancha","5803","2179","37.55","-32","-0.55"
"Cataluña","1950","774","39.69","-6","-0.31"
"Comunidad de Madrid","1060","676","63.77","-11","-1.04"
"Comunidad Valenciana","1956","1055","53.94","-22","-1.12"
"Extremadura","14456","7202","49.82","-67","-0.46"
"Galicia","3220","2463","76.49","-49","-1.52"
"La Rioja","190","134","70.32","-2","-1.05"
"Navarra","1019","615","60.35","-9","-0.88"
"Pais Vasco","252","189","75.00","4","1.59"
"Region de Murcia","148","42","28.38","0","0.00"