"Marca temporal","Elige la comunidad autónoma en la que vives:","¿Qué son las políticas azules?","¿Qué Ministerio gestiona las políticas relacionadas con el agua?","¿Quién tiene la titularidad de la gestión del agua?","En las últimas dos décadas ¿cuántos litros de agua crees que consume de media una persona en su casa?","En mayo de 2023 ¿cuál es la comunidad autónoma que tiene los embalses más vacíos?","¿Cuál es la cuenca que más embalses tiene en España?","¿Cuál es el porcentaje de reutilización de aguas residuales tratadas en España?","¿Cómo crees que evolucionarán el estado de los embalses en el futuro?"
"2023/05/19 3:20:51 p. m. EEST","Andalucía","Las políticas relacionadas con el agua","Transición Ecológica","Titularidad pública","39,3","Andalucía","Cuenca del Ebro","9,96%","Empeorará"
"2023/05/19 3:25:12 p. m. EEST","Madrid","Las políticas relacionadas con el agua","Transición Ecológica","Titularidad pública","39,3","Andalucía","Cuenca del Ebro","9,96%","Empeorará"
"2023/05/19 3:26:40 p. m. EEST","Andalucía","Las políticas relacionadas con el agua","Consumo","Titularidad privada","53,4","Extremadura","Cuenca del Ebro","9,96%","Empeorará"
"2023/05/19 3:28:18 p. m. EEST","Andalucía","Las políticas relacionadas con el agua","Transición Ecológica","Titularidad privada","53,4","Andalucía","Cuenca del Ebro","25%","Empeorará"
"2023/05/19 3:28:33 p. m. EEST","Andalucía","Las políticas relacionadas con el agua","Transición Ecológica","Titularidad pública","68,4","Andalucía","Cuenca del Tajo","5%","Empeorará"
"2023/05/19 3:28:59 p. m. EEST","Madrid","Las políticas relacionadas con el agua","Transición Ecológica","Titularidad pública","68,4","Cataluña","Cuenca del Tajo","50%","Empeorará"
"2023/05/19 3:33:01 p. m. EEST","Andalucía","Las políticas relacionadas con el agua","Transición Ecológica","Titularidad privada","53,4","Andalucía","Cuenca del Tajo","9,96%","Empeorará"
"2023/05/19 3:33:30 p. m. EEST","Madrid","Las políticas relacionadas con el agua","Transición Ecológica","Titularidad pública","33,8","Cataluña","Cuenca del Tajo","5%","Empeorará"
"2023/05/19 3:33:55 p. m. EEST","Madrid","Las políticas relacionadas con el agua","Transición Ecológica","Titularidad privada","68,4","Extremadura","Cuenca del Ebro","5%","Empeorará"
"2023/05/19 3:35:22 p. m. EEST","Galicia","Las políticas relacionadas con el agua","Transición Ecológica","Titularidad pública","33,8","Extremadura","Cuenca del Ebro","25%","Empeorará"
"2023/05/19 3:35:37 p. m. EEST","Andalucía","Las políticas relacionadas con el agua","Consumo","Titularidad pública","68,4","Extremadura","Cuenca del Tajo","9,96%","Empeorará"
"2023/05/19 3:36:48 p. m. EEST","Madrid","Las políticas relacionadas con el agua","Transición Ecológica","Titularidad pública","39,3","Extremadura","Cuenca del Ebro","9,96%","Empeorará"
"2023/05/19 3:37:14 p. m. EEST","Andalucía","Las políticas relacionadas con el agua","Consumo","Titularidad pública","33,8","Extremadura","Cuenca del Guadalquivir","9,96%","Empeorará"
"2023/05/19 3:37:52 p. m. EEST","Madrid","Las políticas relacionadas con el agua","Exteriores","Titularidad pública","68,4","Asturias","Cuenca del Tajo","5%","Empeorará"
"2023/05/19 3:38:36 p. m. EEST","Madrid","Las políticas relacionadas con el agua","Interior","Titularidad privada","53,4","Extremadura","Cuenca del Ebro","5%","Empeorará"
"2023/05/19 3:38:58 p. m. EEST","Andalucía","Las políticas relacionadas con el agua","Consumo","Titularidad pública","39,3","Extremadura","Cuenca del Ebro","25%","Empeorará"
"2023/05/19 3:39:44 p. m. EEST","Andalucía","Las políticas relacionadas con el agua","Transición Ecológica","Titularidad pública","53,4","Extremadura","Cuenca del Segura","9,96%","Mejorará"
"2023/05/19 3:44:13 p. m. EEST","Andalucía","Las políticas relacionadas con el agua","Transición Ecológica","Titularidad privada","68,4","Extremadura","Cuenca del Ebro","9,96%","Empeorará"
"2023/05/19 3:45:39 p. m. EEST","Andalucía","Las políticas relacionadas con el agua","Consumo","Titularidad pública","68,4","Cataluña","Cuenca del Ebro","25%","Empeorará"
"2023/05/19 3:51:17 p. m. EEST","Andalucía","Las políticas relacionadas con el agua","Transición Ecológica","Titularidad pública","39,3","Andalucía","Cuenca del Ebro","5%","Empeorará"
"2023/05/19 3:55:04 p. m. EEST","Andalucía","Las políticas relacionadas con el agua","Transición Ecológica","Titularidad pública","39,3","Cataluña","Cuenca del Tajo","9,96%","Mejorará"
"2023/05/19 3:55:50 p. m. EEST","Andalucía","Las políticas relacionadas con el agua","Consumo","Titularidad pública","68,4","Andalucía","Cuenca del Ebro","25%","Mejorará"
"2023/05/19 3:58:03 p. m. EEST","Castilla y León","Las políticas relacionadas con el agua","Transición Ecológica","Titularidad privada","53,4","Extremadura","Cuenca del Ebro","5%","Mejorará"
"2023/05/19 4:07:18 p. m. EEST","Madrid","Las políticas relacionadas con el agua","Consumo","Titularidad pública","53,4","Andalucía","Cuenca del Ebro","25%","Empeorará"
"2023/05/19 4:10:08 p. m. EEST","Andalucía","Las políticas relacionadas con el agua","Transición Ecológica","Titularidad pública","68,4","Extremadura","Cuenca del Ebro","9,96%","Empeorará"
"2023/05/19 4:29:07 p. m. EEST","Andalucía","Las políticas relacionadas con el agua","Consumo","Titularidad pública","53,4","Andalucía","Cuenca del Tajo","9,96%","Empeorará"
"2023/05/19 4:50:44 p. m. EEST","Madrid","Las políticas relacionadas con el agua","Transición Ecológica","Titularidad pública","39,3","Extremadura","Cuenca del Ebro","5%","Empeorará"
"2023/05/19 5:00:52 p. m. EEST","Valencia","Las políticas relacionadas con el agua","Consumo","Titularidad privada","68,4","Extremadura","Cuenca del Ebro","5%","Empeorará"
"2023/05/19 5:06:05 p. m. EEST","Andalucía","Las políticas relacionadas con el agua","Transición Ecológica","Titularidad pública","53,4","Andalucía","Cuenca del Ebro","25%","Empeorará"
"2023/05/19 5:36:10 p. m. EEST","Madrid","Las políticas relacionadas con el agua","Transición Ecológica","Titularidad pública","68,4","Extremadura","Cuenca del Segura","50%","Empeorará"
"2023/05/19 5:38:14 p. m. EEST","Andalucía","Las políticas relacionadas con el agua","Interior","Titularidad pública","68,4","Extremadura","Cuenca del Tajo","25%","Empeorará"
"2023/05/19 5:42:43 p. m. EEST","Andalucía","Las políticas relacionadas con el agua","Transición Ecológica","Titularidad pública","33,8","Extremadura","Cuenca del Ebro","25%","Empeorará"
"2023/05/19 5:44:15 p. m. EEST","Valencia","Las políticas relacionadas con el agua","Transición Ecológica","Titularidad pública","53,4","Andalucía","Cuenca del Tajo","9,96%","Empeorará"
"2023/05/19 5:48:14 p. m. EEST","Andalucía","Las políticas relacionadas con el agua","Transición Ecológica","Titularidad pública","53,4","Extremadura","Cuenca del Ebro","25%","Empeorará"
"2023/05/19 5:48:33 p. m. EEST","Valencia","Las políticas relacionadas con el agua","Transición Ecológica","Titularidad privada","68,4","Cataluña","Cuenca del Tajo","25%","Empeorará"
"2023/05/19 5:52:00 p. m. EEST","Valencia","Las políticas relacionadas con el agua","Transición Ecológica","Titularidad pública","68,4","Cataluña","Cuenca del Ebro","50%","Empeorará"
"2023/05/19 6:23:34 p. m. EEST","Valencia","Las políticas relacionadas con el agua","Transición Ecológica","Titularidad privada","53,4","Andalucía","Cuenca del Tajo","5%","Mejorará"
"2023/05/19 6:41:47 p. m. EEST","Andalucía","Las políticas relacionadas con el agua","Transición Ecológica","Titularidad pública","68,4","Cataluña","Cuenca del Guadalquivir","9,96%","Empeorará"
"2023/05/19 6:52:45 p. m. EEST","Valencia","Las políticas relacionadas con el agua","Consumo","Titularidad pública","68,4","Andalucía","Cuenca del Ebro","9,96%","Empeorará"
"2023/05/19 6:58:17 p. m. EEST","Valencia","Las políticas relacionadas con el agua","Transición Ecológica","Titularidad pública","53,4","Cataluña","Cuenca del Tajo","25%","Empeorará"
"2023/05/19 7:33:40 p. m. EEST","Andalucía","Las políticas relacionadas con el agua","Consumo","Titularidad privada","53,4","Andalucía","Cuenca del Ebro","9,96%","Empeorará"
"2023/05/19 7:38:21 p. m. EEST","Madrid","Las políticas relacionadas con el agua","Transición Ecológica","Titularidad pública","53,4","Andalucía","Cuenca del Ebro","9,96%","Empeorará"
"2023/05/19 7:44:08 p. m. EEST","Andalucía","Las políticas relacionadas con el agua","Transición Ecológica","Titularidad pública","39,3","Andalucía","Cuenca del Ebro","9,96%","Empeorará"
"2023/05/19 7:59:14 p. m. EEST","Andalucía","Las políticas relacionadas con el agua","Consumo","Titularidad pública","39,3","Extremadura","Cuenca del Segura","9,96%","Mejorará"
"2023/05/19 8:04:16 p. m. EEST","Andalucía","Las políticas relacionadas con el agua","Consumo","Titularidad privada","68,4","Andalucía","Cuenca del Ebro","25%","Empeorará"
"2023/05/19 8:16:39 p. m. EEST","Madrid","Las políticas relacionadas con el agua","Interior","Titularidad pública","68,4","Extremadura","Cuenca del Ebro","9,96%","Empeorará"
"2023/05/19 8:29:35 p. m. EEST","Valencia","Las políticas relacionadas con el agua","Transición Ecológica","Titularidad pública","68,4","Asturias","Cuenca del Segura","25%","Empeorará"
"2023/05/19 8:41:55 p. m. EEST","Valencia","Las políticas relacionadas con el agua","Transición Ecológica","Titularidad pública","39,3","Cataluña","Cuenca del Tajo","5%","Empeorará"
"2023/05/19 8:42:58 p. m. EEST","Andalucía","Las políticas relacionadas con el agua","Transición Ecológica","Titularidad pública","39,3","Andalucía","Cuenca del Tajo","5%","Empeorará"
"2023/05/19 8:43:56 p. m. EEST","Andalucía","Las políticas relacionadas con el agua","Transición Ecológica","Titularidad pública","39,3","Extremadura","Cuenca del Ebro","9,96%","Empeorará"
"2023/05/19 8:49:52 p. m. EEST","Valencia","Las políticas relacionadas con el agua","Consumo","Titularidad privada","53,4","Extremadura","Cuenca del Ebro","9,96%","Empeorará"
"2023/05/19 9:44:12 p. m. EEST","Andalucía","Las políticas relacionadas con el agua","Transición Ecológica","Titularidad pública","53,4","Cataluña","Cuenca del Guadalquivir","9,96%","Empeorará"
"2023/05/20 12:39:35 a. m. EEST","Valencia","Las políticas relacionadas con el agua","Transición Ecológica","Titularidad pública","68,4","Cataluña","Cuenca del Guadalquivir","9,96%","Empeorará"
"2023/05/20 10:24:10 a. m. EEST","Andalucía","Las políticas relacionadas con el agua","Transición Ecológica","Titularidad privada","53,4","Andalucía","Cuenca del Ebro","9,96%","Empeorará"
"2023/05/20 11:11:18 a. m. EEST","Andalucía","Las políticas relacionadas con el agua","Consumo","Titularidad pública","39,3","Extremadura","Cuenca del Guadalquivir","5%","Empeorará"
"2023/05/20 11:35:02 a. m. EEST","Madrid","Las políticas relacionadas con el agua","Transición Ecológica","Titularidad pública","39,3","Andalucía","Cuenca del Ebro","9,96%","Empeorará"
"2023/05/20 2:20:11 p. m. EEST","Valencia","Las políticas relacionadas con el agua","Transición Ecológica","Titularidad privada","33,8","Andalucía","Cuenca del Guadalquivir","9,96%","Empeorará"
"2023/05/20 2:34:59 p. m. EEST","Cataluña","Las políticas relacionadas con el agua","Transición Ecológica","Titularidad privada","39,3","Andalucía","Cuenca del Ebro","9,96%","Empeorará"
"2023/05/20 2:40:58 p. m. EEST","Cataluña","Las políticas relacionadas con el agua","Transición Ecológica","Titularidad pública","39,3","Andalucía","Cuenca del Ebro","50%","Empeorará"
"2023/05/20 6:50:12 p. m. EEST","Madrid","Las políticas relacionadas con el agua","Transición Ecológica","Titularidad pública","53,4","Extremadura","Cuenca del Tajo","9,96%","Mejorará"
"2023/05/20 6:50:12 p. m. EEST","Madrid","Las políticas relacionadas con el agua","Transición Ecológica","Titularidad pública","53,4","Extremadura","Cuenca del Tajo","9,96%","Mejorará"
"2023/05/20 6:50:29 p. m. EEST","Madrid","Las políticas relacionadas con el agua","Transición Ecológica","Titularidad pública","53,4","Extremadura","Cuenca del Tajo","9,96%","Mejorará"
"2023/05/20 7:00:27 p. m. EEST","Madrid","Las políticas relacionadas con el agua","Transición Ecológica","Titularidad pública","53,4","Cataluña","Cuenca del Ebro","9,96%","Empeorará"
"2023/05/20 7:20:49 p. m. EEST","Madrid","Las políticas relacionadas con el agua","Transición Ecológica","Titularidad pública","39,3","Andalucía","Cuenca del Ebro","25%","Empeorará"
"2023/05/20 10:45:20 p. m. EEST","Madrid","Las políticas relacionadas con el agua","Transición Ecológica","Titularidad pública","53,4","Andalucía","Cuenca del Tajo","25%","Empeorará"
"2023/05/20 10:53:48 p. m. EEST","Madrid","Las políticas relacionadas con el agua","Interior","Titularidad pública","53,4","Andalucía","Cuenca del Tajo","9,96%","Empeorará"
"2023/05/21 4:36:22 p. m. EEST","Madrid","Las políticas relacionadas con el agua","Transición Ecológica","Titularidad pública","53,4","Extremadura","Cuenca del Tajo","9,96%","Mejorará"
"2023/05/21 9:46:51 p. m. EEST","Madrid","Las políticas relacionadas con el agua","Interior","Titularidad pública","53,4","Extremadura","Cuenca del Tajo","5%","Empeorará"
"2023/05/21 10:14:43 p. m. EEST","Madrid","Las políticas relacionadas con el agua","Transición Ecológica","Titularidad pública","39,3","Andalucía","Cuenca del Ebro","25%","Empeorará"
"2023/05/22 10:05:04 a. m. EEST","Andalucía","Las políticas relacionadas con el agua","Transición Ecológica","Titularidad privada","33,8","Cataluña","Cuenca del Ebro","5%","Empeorará"
"2023/05/22 10:12:38 a. m. EEST","Andalucía","Las políticas relacionadas con el agua","Transición Ecológica","Titularidad pública","53,4","Cataluña","Cuenca del Segura","9,96%","Empeorará"
"2023/05/22 10:16:20 a. m. EEST","Castilla La Mancha","Las políticas relacionadas con el agua","Transición Ecológica","Titularidad pública","39,3","Cataluña","Cuenca del Ebro","9,96%","Empeorará"
"2023/05/22 10:29:55 a. m. EEST","Andalucía","Las políticas relacionadas con el agua","Transición Ecológica","Titularidad pública","53,4","Cataluña","Cuenca del Ebro","5%","Empeorará"
"2023/05/22 10:34:14 a. m. EEST","Andalucía","Las políticas relacionadas con el agua","Transición Ecológica","Titularidad pública","53,4","Andalucía","Cuenca del Tajo","9,96%","Empeorará"
"2023/05/22 10:39:10 a. m. EEST","Andalucía","Las políticas relacionadas con el agua","Consumo","Titularidad pública","53,4","Andalucía","Cuenca del Ebro","9,96%","Empeorará"
"2023/05/22 10:44:53 a. m. EEST","Castilla y León","Las políticas relacionadas con el agua","Transición Ecológica","Titularidad pública","33,8","Andalucía","Cuenca del Tajo","9,96%","Empeorará"
"2023/05/22 10:45:30 a. m. EEST","Madrid","Las políticas relacionadas con el agua","Interior","Titularidad pública","39,3","Extremadura","Cuenca del Ebro","5%","Empeorará"
"2023/05/22 10:46:50 a. m. EEST","Madrid","Las políticas relacionadas con el agua","Consumo","Titularidad pública","39,3","Andalucía","Cuenca del Ebro","9,96%","Empeorará"
"2023/05/22 10:48:57 a. m. EEST","Madrid","Las políticas relacionadas con el agua","Transición Ecológica","Titularidad pública","33,8","Cataluña","Cuenca del Ebro","25%","Empeorará"
"2023/05/22 10:54:47 a. m. EEST","Madrid","Las políticas relacionadas con el agua","Transición Ecológica","Titularidad pública","39,3","Andalucía","Cuenca del Ebro","9,96%","Empeorará"
"2023/05/22 10:56:00 a. m. EEST","Madrid","Las políticas relacionadas con el agua","Interior","Titularidad pública","68,4","Cataluña","Cuenca del Ebro","50%","Mejorará"
"2023/05/22 11:01:25 a. m. EEST","Madrid","Las políticas relacionadas con el agua","Transición Ecológica","Titularidad pública","68,4","Extremadura","Cuenca del Tajo","50%","Empeorará"
"2023/05/22 11:03:31 a. m. EEST","Valencia","Las políticas relacionadas con el agua","Interior","Titularidad pública","53,4","Extremadura","Cuenca del Ebro","9,96%","Mejorará"
"2023/05/22 11:08:10 a. m. EEST","Madrid","Las políticas relacionadas con el agua","Consumo","Titularidad pública","53,4","Andalucía","Cuenca del Ebro","9,96%","Empeorará"
"2023/05/22 11:12:14 a. m. EEST","Madrid","Las políticas relacionadas con el agua","Transición Ecológica","Titularidad privada","53,4","Andalucía","Cuenca del Tajo","9,96%","Empeorará"
"2023/05/22 11:12:50 a. m. EEST","Andalucía","Las políticas relacionadas con el agua","Interior","Titularidad pública","33,8","Andalucía","Cuenca del Guadalquivir","25%","Empeorará"
"2023/05/22 11:13:24 a. m. EEST","Andalucía","Las políticas relacionadas con el agua","Exteriores","Titularidad pública","53,4","Extremadura","Cuenca del Tajo","9,96%","Empeorará"
"2023/05/22 11:13:52 a. m. EEST","Aragón","Las políticas relacionadas con el agua","Transición Ecológica","Titularidad pública","33,8","Cataluña","Cuenca del Ebro","5%","Empeorará"
"2023/05/22 11:14:18 a. m. EEST","Asturias","Las políticas relacionadas con el agua","Consumo","Titularidad pública","39,3","Extremadura","Cuenca del Ebro","9,96%","Empeorará"
"2023/05/22 11:14:59 a. m. EEST","Islas Baleares","Las políticas relacionadas con el agua","Interior","Titularidad pública","68,4","Asturias","Cuenca del Segura","50%","Empeorará"
"2023/05/22 11:15:39 a. m. EEST","Canarias","Las políticas relacionadas con el agua","Exteriores","Titularidad pública","39,3","Andalucía","Cuenca del Ebro","9,96%","Mejorará"
"2023/05/22 11:16:09 a. m. EEST","Cantabria","Las políticas relacionadas con el agua","Transición Ecológica","Titularidad pública","39,3","Andalucía","Cuenca del Segura","9,96%","Empeorará"
"2023/05/22 11:16:30 a. m. EEST","Castilla y León","Las políticas relacionadas con el agua","Interior","Titularidad pública","39,3","Cataluña","Cuenca del Guadalquivir","5%","Empeorará"
"2023/05/22 11:16:52 a. m. EEST","Castilla La Mancha","Las políticas relacionadas con el agua","Consumo","Titularidad pública","39,3","Andalucía","Cuenca del Tajo","9,96%","Empeorará"
"2023/05/22 11:17:12 a. m. EEST","Cataluña","Las políticas relacionadas con el agua","Transición Ecológica","Titularidad pública","53,4","Extremadura","Cuenca del Ebro","9,96%","Empeorará"
"2023/05/22 11:17:37 a. m. EEST","Valencia","Las políticas relacionadas con el agua","Transición Ecológica","Titularidad pública","33,8","Andalucía","Cuenca del Tajo","5%","Mejorará"
"2023/05/22 11:18:01 a. m. EEST","Extremadura","Las políticas relacionadas con el agua","Transición Ecológica","Titularidad pública","53,4","Extremadura","Cuenca del Tajo","9,96%","Empeorará"
"2023/05/22 11:20:58 a. m. EEST","Madrid","Las políticas relacionadas con el agua","Consumo","Titularidad privada","53,4","Andalucía","Cuenca del Ebro","9,96%","Empeorará"
"2023/05/22 11:25:21 a. m. EEST","Galicia","Las políticas relacionadas con el agua","Consumo","Titularidad pública","39,3","Cataluña","Cuenca del Tajo","9,96%","Empeorará"
"2023/05/22 11:25:46 a. m. EEST","Madrid","Las políticas relacionadas con el agua","Interior","Titularidad pública","39,3","Andalucía","Cuenca del Tajo","25%","Empeorará"
"2023/05/22 11:26:12 a. m. EEST","Murcia","Las políticas relacionadas con el agua","Exteriores","Titularidad pública","39,3","Extremadura","Cuenca del Ebro","9,96%","Empeorará"
"2023/05/22 11:26:34 a. m. EEST","Navarra","Las políticas relacionadas con el agua","Interior","Titularidad pública","53,4","Andalucía","Cuenca del Guadalquivir","9,96%","Empeorará"
"2023/05/22 11:27:10 a. m. EEST","Pais Vasco","Las políticas relacionadas con el agua","Interior","Titularidad pública","39,3","Asturias","Cuenca del Ebro","5%","Mejorará"
"2023/05/22 11:27:40 a. m. EEST","La Rioja","Las políticas relacionadas con el agua","Transición Ecológica","Titularidad privada","53,4","Andalucía","Cuenca del Ebro","9,96%","Mejorará"
"2023/05/22 11:27:58 a. m. EEST","Valencia","Las políticas relacionadas con el agua","Transición Ecológica","Titularidad pública","39,3","Extremadura","Cuenca del Tajo","5%","Mejorará"
"2023/05/22 11:28:05 a. m. EEST","Ceuta y Melilla","Las políticas relacionadas con el agua","Interior","Titularidad pública","33,8","Extremadura","Cuenca del Ebro","9,96%","Empeorará"
"2023/05/22 11:29:05 a. m. EEST","Madrid","Las políticas relacionadas con el agua","Interior","Titularidad pública","33,8","Andalucía","Cuenca del Guadalquivir","25%","Empeorará"
"2023/05/22 11:30:26 a. m. EEST","Valencia","Las políticas relacionadas con el agua","Transición Ecológica","Titularidad pública","53,4","Andalucía","Cuenca del Segura","25%","Empeorará"
"2023/05/22 11:31:53 a. m. EEST","Valencia","Las políticas relacionadas con el agua","Interior","Titularidad pública","53,4","Andalucía","Cuenca del Segura","25%","Empeorará"
"2023/05/22 11:34:43 a. m. EEST","Cataluña","Las políticas relacionadas con el agua","Transición Ecológica","Titularidad pública","39,3","Andalucía","Cuenca del Ebro","9,96%","Empeorará"
"2023/05/22 11:42:24 a. m. EEST","Galicia","Las políticas relacionadas con el agua","Transición Ecológica","Titularidad pública","68,4","Extremadura","Cuenca del Ebro","5%","Empeorará"
"2023/05/22 11:49:17 a. m. EEST","Madrid","Las políticas relacionadas con el agua","Transición Ecológica","Titularidad privada","39,3","Extremadura","Cuenca del Ebro","9,96%","Empeorará"