"Demarcación hidrográfica","Capacidad total","Volumen actual","Porcentaje","Año anterior","Media 10 años"
"Galicia-Costa","684","578","85","479","566"
"Cantábrico Occidental","490","403","82","334","452"
"Cantábrico Oriental","73","59","81","69","67"
"Cuencas Internas del País Vasco","21","16","76","21","19"
"Miño-Sil","3030","2269","75","1675","2378"
"Tinto, Odiel y Piedras","229","155","68","184","195"
"Duero","7507","5045","67","4346","5950"
"Tajo","11056","6629","60","5580","7267"
"Júcar","2846","1692","59","1870","1595"
"Ebro","7963","4078","51","6086","6162"
"Cuenca Mediterránea Andaluza","1174","413","35","594","708"
"Segura","1140","386","34","514","555"
"Guadiana","9498","3122","33","3070","5740"
"Guadalete y Barbate","1651","442","27","609","1092"
"Cuencas Internas de Cataluña","677","173","26","405","565"
"Guadalquivir","8030","1957","24","2616","5109"